"","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","ncoef"
"790","LQ","0.5","fc.LQ_rm.0.5",0.58121037037037,0.881,0.187468152122703,0.132158753512619,0.405063865132701,0.117756937942337,-0.5365,0.382851146008472,0.274101307189542,0.266082032327317,0.105392156862745,0.157550575294002,7
"791","LQ","0.5","fc.LQ_rm.0.5",0.567418518518519,0.732,0.0763123279426548,0.0573717477146427,0.618731305057035,0.0809305382213191,0.3235,0.364172578136612,0.0583576998050682,0.0575879277645089,0,0,8
"792","LQ","0.5","fc.LQ_rm.0.5",0.523515925925926,0.556,0.148370061475522,0.114109545639165,0.472866292427219,0.196099316446409,-0.067,0.54546493929491,0.138487558766197,0.191064804791343,0.0328947368421053,0.0657894736842105,7
"793","LQ","0.5","fc.LQ_rm.0.5",0.568953333333333,0.802,0.15804904450404,0.17153178820008,0.54393554267408,0.248622943016213,0.05975,0.539515446179872,0.204606696479762,0.234878913944378,0.0197368421052632,0.0394736842105263,8
"794","LQ","0.5","fc.LQ_rm.0.5",0.573748888888889,0.83,0.0712913052949155,0.0569086183997613,0.523849135205285,0.0733620294796506,0.2925,0.493897762699934,0.105750487329435,0.0989410778695241,0,0,6
"795","LQ","0.5","fc.LQ_rm.0.5",0.543525185185185,0.6,0.0936722916359268,0.0427512738971325,0.57488142866742,0.11711504855139,0.1955,0.333516116552109,0.0648148148148148,0.106380789750704,0,0,7
"796","LQ","0.5","fc.LQ_rm.0.5",0.616084814814815,0.816,0.101482457224498,0.055351705317385,0.724337944088215,0.0670499641392949,0.45525,0.142364262837741,0,0,0,0,8
"797","LQ","0.5","fc.LQ_rm.0.5",0.573570740740741,0.897,0.199062585941432,0.128559355919441,0.386600806576511,0.129212630752722,-0.27375,0.467744499344104,0.319071780759087,0.233066521991799,0.0592105263157895,0.118421052631579,9
"798","LQ","0.5","fc.LQ_rm.0.5",0.582183703703704,0.851,0.117237728820705,0.0764200062527529,0.524804456519309,0.152120693201422,-0.00974999999999999,0.596259660997902,0.0560858846462562,0.0697257391781593,0.00925925925925926,0.0185185185185185,9
"799","LQ","0.5","fc.LQ_rm.0.5",0.575753703703704,0.78,0.19111399940653,0.0724866218478677,0.775086250448125,0.0737009309516347,0.821,0.0919492613709685,0.00657894736842105,0.0131578947368421,0,0,10
