"","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","ncoef"
"59","LQ","1","fc.LQ_rm.1",0.530702941176471,0.726,0.153567436902642,0.11464765039817,0.388137828926998,0.102659276886991,-0.3975,0.294796540006832,0.243192436011585,0.158434379087905,0.00531914893617021,0.0106382978723404,4
"60","LQ","1","fc.LQ_rm.1",0.543922994652406,0.799,0.0513756014022671,0.0746849015903993,0.518428593181286,0.103237007004888,0.21025,0.531069596820103,0.132004569504569,0.233243087699587,0,0,5
"61","LQ","1","fc.LQ_rm.1",0.53762192513369,0.64,0.0636983527463283,0.0349974683019642,0.480446045712215,0.0324223528409296,-0.026,0.191894067999335,0.171874520278776,0.0792548198102391,0.0149410774410774,0.0182147180205239,4
"62","LQ","1","fc.LQ_rm.1",0.530182085561497,0.372,0.144647884009122,0.0546434820445008,0.393824665344858,0.0503578302346257,-0.615,0.353020301588072,0.207111643281856,0.081704704034461,0.0149410774410774,0.0182147180205239,4
"63","LQ","1","fc.LQ_rm.1",0.553699732620321,0.866,0.14293372980224,0.0576602644552894,0.701954639438744,0.0394145536651471,0.66675,0.170439383164025,0.0523893954745019,0.0435612081962871,0.0112715298885512,0.0130562552875987,6
"64","LQ","1","fc.LQ_rm.1",0.557933155080214,0.884,0.0634468555209533,0.0327616372881179,0.581178626612411,0.0702967853017264,0.40625,0.49848328290258,0.11489898989899,0.138336827523256,0.0324074074074074,0.0648148148148148,6
"65","LQ","1","fc.LQ_rm.1",0.545429946524064,0.9,0.261953418328585,0.0436219992645631,0.292085636674774,0.0454658255972656,-0.78725,0.0591121814857141,0.453839944531434,0.0775001853901949,0.0278980278980279,0.0228285280905903,5
"66","LQ","1","fc.LQ_rm.1",0.541105080213904,0.706,0.082705550710647,0.0476406617935608,0.567754133782224,0.106025414981144,0.21625,0.489913172579251,0.0931580240090878,0.0594611464131954,0.00531914893617021,0.0106382978723404,7
"67","LQ","1","fc.LQ_rm.1",0.553,0.91,0.105861823355513,0.045071117901457,0.64555553409537,0.0881597542923954,0.4765,0.40152916041885,0.00595238095238095,0.0119047619047619,0,0,6
"68","LQ","1","fc.LQ_rm.1",0.533191711229947,0.836,0.132860346033578,0.09132727429609,0.413628616293035,0.0856905074892767,-0.37325,0.68436558212698,0.253184069673431,0.114026229674518,0.0278059214229427,0.0305777304924916,5
"69","LQ","1","fc.LQ_rm.1",0.54318743315508,0.739,0.187390604018632,0.118575789232924,0.363933398660114,0.101917777610575,-0.54775,0.438742426335392,0.319288375139439,0.195058499558723,0.0376683501683502,0.0535703488737222,6
"70","LQ","1","fc.LQ_rm.1",0.544244385026738,0.573,0.145411699532868,0.0887990736130928,0.416721148243468,0.1058781502196,-0.53225,0.484044333369028,0.19305197363708,0.0791779539423971,0.0152116402116402,0.0183762486632934,5
"71","LQ","1","fc.LQ_rm.1",0.526589037433155,0.773,0.140003788131249,0.0875537085336757,0.686651897043119,0.0807729687080242,0.8105,0.0242830530754818,0.0645141895141895,0.0568661025969471,0,0,5
"72","LQ","1","fc.LQ_rm.1",0.549890106951872,0.751,0.0457737284193336,0.0301841141669222,0.585804611067082,0.0548576007741108,0.595,0.214865849620951,0.124796598200854,0.0973854931776135,0,0,4
"73","LQ","1","fc.LQ_rm.1",0.54094385026738,0.588,0.156871866318405,0.0165163104546524,0.39211672471818,0.0121236457189092,-0.668,0.202709973443177,0.275826911465209,0.0702897268495437,0.0106382978723404,0.0212765957446809,7
"74","LQ","1","fc.LQ_rm.1",0.51378128342246,0.012,0.138663416107831,0.0318002617991533,0.555278498861346,0.167431544768236,0.11775,0.876325424713902,0.141404546989653,0.16867624318762,0.00531914893617021,0.0106382978723404,3
"75","LQ","1","fc.LQ_rm.1",0.530092245989305,0.443,0.0852906992427519,0.0681420847125121,0.499852034898673,0.107559588443944,-0.05275,0.605596881872202,0.0964930459611311,0.0757840167600658,0.0113636363636364,0.0227272727272727,4
"76","LQ","1","fc.LQ_rm.1",0.545763101604278,0.255,0.16429760790294,0.0436885489909341,0.714039589349191,0.0386123243901453,0.7265,0.169977449484728,0.0533008658008658,0.0763703060684065,0,0,6
"77","LQ","1","fc.LQ_rm.1",0.525777272727273,0.272,0.125968421397506,0.0776192852594132,0.634766403528979,0.124595263191184,0.32525,0.696418636070766,0.0731248656780572,0.0825262123588993,0.00531914893617021,0.0106382978723404,4
"78","LQ","1","fc.LQ_rm.1",0.580502673796791,0.902,0.0945957287444522,0.0383677781336036,0.675312093512695,0.0277594953601865,0.6925,0.0491697739131132,0.0284090909090909,0.0568181818181818,0,0,6
"79","LQ","1","fc.LQ_rm.1",0.55461871657754,0.733,0.176465810315804,0.0886298176522603,0.382518472523931,0.0755296334466866,-0.48625,0.406068446611324,0.296275188562423,0.111331359392684,0.0284672970843184,0.04391102259628,7
"80","LQ","1","fc.LQ_rm.1",0.547727540106952,0.596,0.0871388067303155,0.00986194156271948,0.511878155281448,0.0862337928613344,-0.13275,0.350987535391216,0.144204200055264,0.0695170061320661,0.015630596747618,0.0105656008107526,6
"81","LQ","1","fc.LQ_rm.1",0.546099465240642,0.73,0.245590287689019,0.0593514433676807,0.310741067644075,0.0591904172242184,-0.6165,0.163326870620442,0.32434207833144,0.0567766458523544,0.0511587506268357,0.0379794221183737,6
"82","LQ","1","fc.LQ_rm.1",0.552330481283422,0.589,0.0564798950233728,0.0247781516588608,0.501502401873299,0.0311269556938009,0.04025,0.396626083358117,0.167605641009896,0.0858639229046346,0.0165906788247214,0.0206289847423985,6
"83","LQ","1","fc.LQ_rm.1",0.53570614973262,0.721,0.110577747572798,0.0672871713063995,0.645032365247095,0.075608995658169,0.381,0.419740395959217,0.0831472014982653,0.0946688116002474,0.0112715298885512,0.0130562552875987,5
"84","LQ","1","fc.LQ_rm.1",0.54355614973262,0.708,0.103795370141722,0.0581668178822786,0.65662809609412,0.0613050059273968,0.57925,0.20656133068252,0.031475468975469,0.0252170695227693,0.00462962962962963,0.00925925925925926,4
"85","LQ","1","fc.LQ_rm.1",0.529144117647059,0.799,0.0497864270497219,0.0398739051960107,0.498746048934069,0.0436598660095286,-0.06875,0.287552169179786,0.107644325729432,0.0200570770967951,0.0173160173160173,0.021860400299485,6
"86","LQ","1","fc.LQ_rm.1",0.540594117647059,0.892,0.10387822547204,0.0450166615245473,0.448003572479383,0.0445895051160952,-0.245,0.587548012222547,0.167096496883731,0.0862507374862618,0.0251604187774401,0.0229042937123198,6
"87","LQ","1","fc.LQ_rm.1",0.531466577540107,0.602,0.0978734927791201,0.093479619525951,0.623115547632372,0.0865749955947325,0.5575,0.414269236125494,0.0617612293144208,0.0903637051263039,0.00462962962962963,0.00925925925925926,4
"88","LQ","1","fc.LQ_rm.1",0.559818449197861,0.337,0.0977393108656551,0.0703260703943469,0.661888429198969,0.0576597560215807,0.8035,0.147554509701782,0.0533290094460307,0.0371956659331657,0.00595238095238095,0.0119047619047619,6
"89","LQ","1","fc.LQ_rm.1",0.540780213903743,0.749,0.17066215524018,0.0714186480870481,0.378286456982591,0.0806014120575633,-0.6255,0.360170792819185,0.379206195695557,0.0243586668224261,0.0355639730639731,0.0411361319690687,6
"90","LQ","1","fc.LQ_rm.1",0.519227272727273,0.597,0.128565888187422,0.100760024790773,0.616464704067191,0.152654535133676,0.44625,0.453765266042551,0.0378109872790724,0.0371255644711937,0.00531914893617021,0.0106382978723404,3
"91","LQ","1","fc.LQ_rm.1",0.562054278074866,0.883,0.164612363630507,0.0536774424526867,0.404642471076188,0.0473095473895488,-0.56525,0.190081342237124,0.256833149120383,0.0742794046365575,0.061263598497641,0.051650784598718,5
"92","LQ","1","fc.LQ_rm.1",0.545614973262032,0.465,0.18939828771966,0.0722857937194476,0.361779063301765,0.0702675924396935,-0.582,0.284261616590539,0.108164983164983,0.0738873143051463,0.0113636363636364,0.0227272727272727,6
"93","LQ","1","fc.LQ_rm.1",0.552413903743316,0.813,0.073259091351637,0.0214570182772775,0.568312657468423,0.0927875183059843,0.37,0.403902628529864,0.0646267640948492,0.059170390424696,0,0,6
"94","LQ","1","fc.LQ_rm.1",0.538235294117647,0.291,0.113018868529883,0.163853514975861,0.445641397929582,0.170094549978027,0.1215,0.640213245723642,0.213349938083981,0.238895836686015,0.0206228956228956,0.0240599426396573,6
"95","LQ","1","fc.LQ_rm.1",0.53639385026738,0.468,0.0762525328024114,0.0441872348736776,0.510105481969327,0.1038819743498,0.164,0.659247550873974,0.161170340691617,0.107293558555894,0,0,5
